WEM number,Original,Seed,Reworded,Model_Seed,Model
330331555,Units Received,That was very profitable.,That was very profitable.,2251843,qwen2.5:0.5b
980411923,Product Received,A new item has been added to your existing inventory.,A new product or item has been delivered and added to your existing inventory.,1564321,qwen2.5:0.5b
774834164,Weather Update: Storm Clearing,Weather conditions have improved. You can put your umbrella away now.,Weather conditions are improving. Please consider putting your umbrella away now.,3310693,qwen2.5:0.5b
105331281,Component Repaired,"If it moves and it should not, use duct tape.","If It Moves and Should Not, Use Duct Tape.",5581726,qwen2.5:0.5b
245522736,Enemy Missile Inbound,A hostile missile is heading towards an allied civilian freighter.,"A hostile missile is launched by hostile forces, aiming to impact an allied civilian freighter.",4502764,qwen2.5:0.5b
247183138,Thermal Protection Falling,Environmental danger is rising.,Environmental conditions are deteriorating rapidly. Your environmental temperature shielding system may not adequately protect you against all temperature extremes.,4053851,qwen2.5:0.5b
1032826641,Weather Warning: Incoming Storm,Unpleasant weather is on its way.,A sudden change in weather forecast has been issued for your area.,2192041,qwen2.5:0.5b
792296351,Technology Recharged,A technology module has been recharged.,A technology module has been recharged.,3406740,qwen2.5:0.5b
656990144,Extreme Sentinel Planet,Sentinels are everywhere!,Sentinels patrol every nook and cranny of this planet!,9944242,qwen2.5:0.5b
780959188,Inventory Full,Your inventory space is completely filled.,"Your current inventory space is already fully occupied, so there's no room for adding more items.",737545,qwen2.5:0.5b
240393094,Warning: Sentinel Drones Activated,You’re about to be surrounded by unfriendlies.,You're getting attacked by hostile drones near your position.,3085183,qwen2.5:0.5b
884631197,Weapon Charge Depleted,"Your Weapon is out of ammo, you were probably wasting shots anyway.","Your weapon has zero ammo left, and you were most likely using up your shots rather than wasting them.",1909547,qwen2.5:0.5b
386328035,Hostile Scan Detected,You are being scanned by a hostile source. Today's suggestion is to prepare for combat.,You are being scanned by a hostile source today. Urgency requires you to prepare for combat.,4582605,qwen2.5:0.5b
396681446,Nearby toxins detected,"Corrosive toxins are attacking your suit integrity, filters are damaged.","Corrosive environmental toxins are damaging Your suit's protective filters, leading to reduced effectiveness and potential damage over time.",7583396,qwen2.5:0.5b
976899439,Extreme Night Temperature Detected,Extreme night cold temperature detected.,"Extreme cold temperatures during the night cycle are detected, posing a threat to life support and your safety.",9688143,qwen2.5:0.5b
160765928,Civilian freighter destroyed,"A civilian freighter you were assigned to protect has been destroyed, you failed to save them, their cries for help will haunt your sleep.","A civilian freighter you were assigned to protect was lost and there are no survivors. You failed to save them, their cries for help will haunt your sleep.",2100936,qwen2.5:0.5b
711767177,Warning: civilian shields depleted,"The civilian freighter you are assigned to protect is in serious danger, their defenses have been compromised.",You are a civilian freighter under your protection. Your cargo has been seized and placed at risk of immediate destruction.,98274,qwen2.5:0.5b
954591441,Pirate engines neutralized,"Pirate engines have been destroyed, the vessel is crippled.","Pirate ships are now completely disabled and cannot move, leaving them in an unmanageable state.",230697,qwen2.5:0.5b
383184645,Inventory Full,Your inventory space is completely filled.,Your current inventory space is already at its maximum capacity. There's no room for additional items to store.,7824657,qwen2.5:0.5b
1023688906,Collectible Received,A collectible item intended for personal decoration has been placed in your inventory.,A collectible item intended for personal decoration has been added to your inventory.,7931126,qwen2.5:0.5b
126319994,Secure Transmission Module Located,A secure transmission module has been located and data is being downloaded to your navigational computer.,A communications module has been found and its data is being downloaded to your navigation system.,4896818,qwen2.5:0.5b
236472322,Warning: Sentinel Combat Unit Deployed,You are now the target of a hostile Sentinel combat unit.,"You have been identified as an advanced Sentinel enemy unit in this combat scenario due to your actions, making you an active target for the hostile Sentinel combat unit.",6841711,qwen2.5:0.5b
583871976,Warning: Threat Detected,A minor threat has been detected.,A minor threat has been detected near the lower level.,5074657,qwen2.5:0.5b
623058381,Shield Down,"Your Shield is offline, power reserves have been drained.",Your shield system is currently inoperative due to insufficient power reserves.,1151732,qwen2.5:0.5b
330757140,Hostile Ships Defeated,"Amazingly, you survived that encounter. Did you even try to avoid being hit by enemy weapons?","Amazingly, you survived that encounter. Did you even try to avoid being hit by enemy weapons?",4197709,qwen2.5:0.5b
968718536,Hostile Ships Approaching,Hostile starships are on apporach to your position and their weapons are armed.,"Hostile starships have been spotted approaching your position, their weapons are armed and ready.",4598961,qwen2.5:0.5b
223423849,Discovery Uploaded,Your discovery has been uploaded to the Surveyor's Guild Database.,Your exploration has been recorded and stored in the Surveyor’s Guild Database for future reference and analysis.,3616537,qwen2.5:0.5b
263752892,Home Planet Claimed,A planet has been claimed by you as a new home.,A planet has been claimed by You as a new home.,8350096,qwen2.5:0.5b
497090550,Discovery Uploaded,Your discovery has been uploaded the the galactic network and compensation for your efforts has been provided to you.,Your discovery has been uploaded to the galactic network and a reward for your efforts has been processed.,3515982,qwen2.5:0.5b
682556976,New Planet Analyzed,You have analyzed a new planet and recorded the data to your personal archives.,You have analyzed a new planet and its data in your personal archives.,77895,qwen2.5:0.5b
685057897,Discovery Uploaded,Your discovery has been uploaded for peer review.,Your recent discovery has been accepted for peer review by the galactic scientific community.,6250130,qwen2.5:0.5b
760990899,Home Planet Established,A new home planet has been surveyed and established by you.,A new home planet has been successfully surveyed and established as your new home.,1435462,qwen2.5:0.5b
990719346,New System Discovered,A new stellar system has been discovered by you.,A new star system has been discovered by You.,2909147,qwen2.5:0.5b
1010781808,Discovery Uploaded,Your discovery has been uploaded to the galactic survey network for others to view.,Your new discovery has been successfully uploaded to the official galactic survey network for others to review and access.,3607253,qwen2.5:0.5b
28697689,Radiation Damage Detected,You have taken radiation damage.,You have experienced severe radiation exposure over an extended period.,4023960,qwen2.5:0.5b
29330265,Extreme Water Temperature Detected,Extreme cold water environment detected.,"Extreme cold water environment detected, reviewing the visual heads-up display for details.",1222942,qwen2.5:0.5b
50465612,Extreme Subterranean Toxicity Detected,Extreme subterranean toxicity detected,You am currently underground and experiencing extreme subterranean toxicity.,4386480,qwen2.5:0.5b
76438123,Extreme Cold: Critical,Extreme cold conditions are present and may cause a serious drain on life support resources.,"Extreme cold is affecting You's life support resources, potentially depleting them rapidly.",5216132,qwen2.5:0.5b
124237937,Extreme Night Radiation Detected,Extreme night radiation detected.,Extreme night radiation detected by detection systems poses a significant threat to You.,7579684,qwen2.5:0.5b
152151960,Extreme Temperature Detected,Extreme temperature detected.,"Extreme environmental conditions are detected, posing significant risks to your equipment and environment. Review the visual heads up display for additional details.",9134012,qwen2.5:0.5b
208814791,Extreme Water Toxicity Detected,Extreme water toxicity environment detected.,"Extreme water toxicity levels are now present in the environment, posing immediate and severe threats to aquatic life.",1353495,qwen2.5:0.5b
213575654,Extreme Subterranean Temperature Detected,Extreme subterranean temperature detected.,"Extreme subterranean temperatures detected, requiring immediate action to ensure safety and prevent equipment damage or injury.",4019052,qwen2.5:0.5b
351875919,Delve Limit Reached,It is impossible for your portable mining tools to dig any deeper due to gravitational pressure.,It is not possible for your portable mining equipment to continue its current excavation process as it reaches a physical limit imposed by gravitational forces. Further exploration would become impossible due to environmental constraints.,9532848,qwen2.5:0.5b
489352730,Extreme Water Temperature Detected,Extreme hot water environment detected.,You are exposed to extremely hot water while immersed. Review the visual heads up display for details.,1066465,qwen2.5:0.5b
490165063,Extreme Night Toxicity Detected,Extreme night toxicity detected.,"You are experiencing extremely toxic environmental conditions at this time of night, which poses a severe threat to your safety and well-being.",2751319,qwen2.5:0.5b
570428671,Extreme Temperature Detected,Extreme temperature detected.,Extreme temperature readings have been confirmed in your immediate environment. Review the visual head-up display for detailed information.,2268711,qwen2.5:0.5b
653680659,Extreme Subterranean Temperature Detected,Extreme subterranean temperature detected,Extreme subterranean temperature detected while exploring below the surface. There are hazardous subterranean temperature conditions that could compromise the suit.,2241324,qwen2.5:0.5b
675954230,Extreme Toxicity Detected,Extreme toxicity detected.,"Extreme toxicity has been reported in your environment, necessitating immediate protective measures to prevent harm or poisoning.",3395662,qwen2.5:0.5b
696022064,Extreme Radiation Detected,Extreme radiation detected.,Extreme radiation detected. Immediate protective measures are required.,6186607,qwen2.5:0.5b
733521599,Extreme Night Temperature Detected,Extreme night heat temperature detected.,"Extreme night heat level is reported, posing an imminent threat to personal safety and integrity of your suit.",2401432,qwen2.5:0.5b
824368356,Extreme Subterranean Radiation Detected,Extreme subterranean radiation detected.,"Very high subterranean radiation levels have been observed, posing significant risks to You and your suit integrity.",1459373,qwen2.5:0.5b
863051935,Extreme Hazard Planet,The current planet exhibits various extreme hazards that may overwhelm your suit's protective capabilities.,The current planet presents multiple unstated extreme hazards including environmental and possibly hostile forces that could potentially overwhelm your suit’s protective measures.,198728,qwen2.5:0.5b
899453751,Radiation Leak Detected,Intense radiation leak detected in the vicinity.,Intense radiation leakage affecting the area has been detected.,1508389,qwen2.5:0.5b
951631813,Temperature Levels Stabilizing,External temperature is stabilizing to optimal comfort levels.,The thermal conditions inside the suit are returning to normal operating range.,2703554,qwen2.5:0.5b
43830316,Technology Repaired,A nontrivial malfunction has been corrected in a technology module.,A nontrivial malfunction has been repaired in the technology module.,835341,qwen2.5:0.5b
117536789,Additional Resources Required,Obtain more construction resources to build this item.,To gather more construction materials for the desired item.,8560572,qwen2.5:0.5b
260557941,Backup generators online,Backup generators are now in use.,Backup generators are currently operating with limited fuel supplies.,5594078,qwen2.5:0.5b
299876357,Freighter Acquired,Your newly acquired freighter appears to be an unmaintained hunk of junk.,"Your newly acquired freighter is in poor condition, requiring maintenance and repair.",9178297,qwen2.5:0.5b
315361790,Multi-Tool Charge Depleted,Please monitor the power level display to prevent energy cell depletion and multitool shutdown.,Please monitor the power level display to ensure optimal battery life during multitasking.,531027,qwen2.5:0.5b
337859118,Base Computer Online,The computer for your new base is ready for use.,The computer for your new base has been successfully installed and set up.,9620661,qwen2.5:0.5b
353234571,New Weapon Available,A new weapon is available for you.,A previously unobtainable weapon has been acquired and made available to You.,1425483,qwen2.5:0.5b
370738335,Emergency damage recovery system engaged,"Extensive damage to your property has occured, self repair attempts have begun.","Extensive damage to your property has occurred, and automated repair systems are now active.",2572148,qwen2.5:0.5b
425064686,Arial Propulsion Jet Pack Online,"The jetpack is ready for use, you may attempt to fly like a bird.",The jetpack is fully operational and ready for use; You may attempt to fly like a bird using it.,5561169,qwen2.5:0.5b
462791110,"Welcome home, Commander","Welcome home, you deserve a rest.","Goodnight, You deserve a rest.",3051959,qwen2.5:0.5b
474358890,New Freighter Acquired,You have acquired a new rust bucket junk freighter.,"You have acquired a new rust bucket junk freighter in poor condition, it is in dire needd of maintenance.",1270145,qwen2.5:0.5b
487034870,Internal View Selected,Internal camera view selected.,The camera in your car has been switched to an internal view mode.,537832,qwen2.5:0.5b
496984207,Technology Offline,A technology module has been disabled.,A technology component has malfunctioned and is no longer operational.,2077999,qwen2.5:0.5b
531979220,Fuel Required,"Fuel levels are below required threshold, provide more fuel.",Fuel levels are low and need replenishment for continued operation. Please provide additional fuel to ensure normal function.,6870971,qwen2.5:0.5b
548071497,Vehicle Deployed,Your vehicle has been deployed to your location.,Your exo-mobility system has been successfully activated in your current location.,1991920,qwen2.5:0.5b
579975330,Vehicle Damage Sustained,"Moderate vehicle damage has been sustained, perhaps consider retaking your driver's examination.","Moderate vehicle damage has been sustained, but it is not expected to significantly impact your exocraft or any other aspects of your game experience. Consider retaking your driver's examination.",9147572,qwen2.5:0.5b
589305615,Shield Kinetic System Online,Shield kinetic system online.,The suit's kinetic shield subsystem is now activated.,9086189,qwen2.5:0.5b
634281443,Commencing Atlas System Suit Initialization,Your atlas suit computer is initializing and running a self diagnostic.,Your Atlas Suit computer is currently undergoing a self-diagnostic process.,2130966,qwen2.5:0.5b
