Filename,Transcription,Seed_Phrase,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,Context,Intent,WEM number,Thinking,Count
330331555.WEM,Units Received,Payment has been  received and deposited.,You received payment and it is deposited in your account.,You could have received more money from that transaction.,A large deposit was made to your bank account. ,Your bank account total has increased.,You have secured additional funds for your account.,Cash reserves have been slightly  amplified.,Funds have been added to your account and are ready to be used.,,,Monetary transaction,DO NOT specify or speculate or refer to where the money comes from. Only inform that money has been received.,330331555,,92
980411923.WEM,Product Received,An new item has been added to your existing inventory.,,,,,,,,,,Inventory,"A product or item has been delivered and added to your inventory. Do not refer to money, payments, or crafting.",980411923,,28
774834164.WEM,Weather Update: Storm Clearing,The storm is over and weather conditions are stabilizing.,The storm is over and weather conditions are stabilizing.,Weather conditions have improved. Acid rain is no longer eating your suit.,Weather conditions have improved. Mother nature has stopped trying to attack you for now.,Weather conditions have improved. That was quite an invigorating experience!,Weather conditions have improved. Next time there is a storm you should seek shelter.,Weather conditions have improved. You can put your umbrella away now.,,,,Environmental Status,The storm has passed. Conditions are returning to normal.,774834164,Yes,16
105331281.WEM,Component Repaired,You have repaired a damaged equipment component with great skill.,You have repaired a damaged equipment component with great skill.,"You fixed that component, well done.  ",Getting that diploma in Gadgetry really paid off.,How did you even see those nanowire connections without a microscope?,Bubblegum and duct tape will fix anything.,"If it doesnt move and it should, use a hammer.","If it moves and it should not, use duct tape.",,,Equipment Status,A damaged equipment component has been successfully repaired.,105331281,Yes,12
245522736.WEM,Enemy Missile Inbound,A missile has been launched by hostile forces toward a civilian freighter under your protection.,A missile has been launched by hostile forces toward a civilian freighter under your protection.,"A hostile has launched an attack on the freighter, the friegther is asking you for help.",An allied freighter is in danger and is requesting your assistance.,A missile is en route to a freighter you are expected to protect.	,Something big is about to go boom and damage an allied freighter.,"You are supposed to protect that freighter, you need to stop the missile that the pirates launched.",,,,Freighter Combat,A missile has been fired at a civilian freighter you are defending.,245522736,,6
247183138.WEM,Thermal Protection Falling,Protection against extreme thermal variations is rapidly failing.,Protection against extreme thermal variations is rapidly failing.,Your spacesuit disagrees with your idea of what is comfortable.,Your thermal insulation no longer works.,It's getting way too unpleasant.,Environmental danger is rising.,,,,,Personal Protection,"Your environmental temperature shielding is failing, ability to protect against all temperature extremes is compromised.",247183138,Yes,15
1032826641.WEM,Weather Warning: Incoming Storm,Unpleasant weather is on it's way.,Unpleasant weather is on its way.,The sky appears to be angry with you. ANgry weather is approaching.,Atmospheric conditions are about to significantly  worsen.,This weather wants to hurt you tody.	,Mother Nature is preparing to throw a tantrum.,You’re about to get hammered by Mother Nature.,,,,Environmental Status,A storm is incoming at your location. ,1032826641,Yes,8
792296351.WEM,Technology Recharged,A technology module has been recharged.,A technology module has been recharged.,Your technology is powered back up.,Energy has been restored.,The disabled module is now reactivated and ready for use.,Power levels have been restored to the component.,,,,,Equipment Status,"One of your tech modules has been provided with additional power, and is functioning normally.",792296351,,21
656990144.WEM,Extreme Sentinel Planet,"This planet is inhabited by hostile Sentinel forces, trespassing will likely result in combat.","This planet is inhabited by hostile Sentinel forces, trespassing will likely result in combat.",You do not appear to be welcome here.,Sentinels are everywhere!,Prepare for trouble if you are seen.,This place is crawling with surveillance and overreaction.,Stealth won’t help you here.,Any intrusion or detection will likely provoke aggressive combat response.,,,Environmental Status,You’ve landed somewhere patrolled by hostile Sentinels.  ,656990144,Yes,5
780959188.WEM,No Free Slots In Suit Inventory,"Your suit inventory is full, you have no room for storing more stuff.","Your suit inventory is full, you have no room for storing more stuff.",Your suit storage is full up of random stuffs.,There is no room remaining in your inventory.,Your inventory is already completely full.,Your inventory is full.  Adding additional items may lead to a localized  gravitational collapse.,Your suit pockets are full.,"Hoarders Anonymous called, they would like to invite you as a guest speaker at the next meeting.",,,Inventory,Your suit inventory is completely full.,780959188,,4
240393094.WEM,Warning: Sentinel Drones Activated,Multiple Sentinel Drones Activated and converging on your position.,Multiple Sentinel Drones Activated and converging on your position.,Sentinel drones have designated you as a valid target.,Sentinel drones are now active and heading your way.,Automated aggression has been triggered.,You’re about to be surrounded by unfriendlies.,Sentinels have marked you as a target. They’re coming for you.,You attracted the attention of hostile Sentinels.  Perhaps you should consider avoiding Sentinel patrols.,,,Personal Combat,Multiple hostile drones are converging on your position.,240393094,Yes,4
884631197.WEM,Weapon Charge Depleted,Your Weapon is out of ammo. Reload it to continue randomly shooting and wasting more ammo.,Your Weapon is out of ammo. Reload it to continue randomly shooting and wasting more ammo.,Your Weapon is out of ammo. there is nothing left int he ammo clip.,Your Weapon is out of ammo. the ammo fairy has chosen to not visit you.,Your Weapon is out of ammo. keep clicking the trigger to see what happens.,Your Weapon is out of ammo. You need to reload.  immediately.,Your Weapon is out of ammo. Maybe consider actually hitting something next time you fire it.,Your Weapon is out of ammo.  You were probably wasting shots anyway.,,,Personal Combat,"Your weapon has zero ammo left, the weapon needs recharging or reloading.",884631197,Yes,7
386328035.WEM,Hostile Scan Detected,An active scanning frequency has been detected and your position is being relayed to an unknown recipient.,A previously unknown  scanning frequency has been detected and your suit database is being accessed by a hostile  source.,You are being scanned by a hostile source. You could always be a pansy and call for help.,"You are being scanned by a hostile source. If you only had a voice, you could try communicating.",You are being scanned by a hostile source. You may want to consider fleeing.,You are being scanned by a hostile source. Today's suggestion is to prepare for combat.,,,,,Personal Combat,"A hostile source is scanning you to lock you as a target. This is a threat in progress, Urgency required.",386328035,Yes,5
396681446.wem,Nearby toxins detected,"Corrosive toxins are attacking your suit integrity, filters are damaged.",,,,,,,,,,Environmental Status,Alerts you that environmental toxins are damaging your suit's protective filters.,396681446,Yes,4
976899439.WEM,Extreme Night Temperature Detected,Extreme Night Cold Temperature Detected,,,,,,,,,,Environmental Status," Extreme cold temperatures during the night cycle are detected, posing a threat to life support and your safety. ",976899439,Yes,4
160765928.wem,Civilian freighter destroyed,"A civilian freighter has been destroyed, you failed to save them, Their cries for help will haunt your sleep.",,,,,,,,,,Freighter Combat,"Alerts you that a civilian freighter they were assigned to protect was lost and implies all hands were lost, no survivors.",160765928,Yes,3
711767177.wem,Warning: civilian shields depleted,"The civilian freighter is in serious danger, their defenses have been compromised.",,,,,,,,,,Freighter Combat,Warns that a civilian freighte under your protection is at risk of immediate destruction.,711767177,,3
954591441.wem,Pirate engines neutralized,"Pirate engines have been destroyed, the vessel is crippled.",,,,,,,,,,Freighter Combat,"Confirms that the engines of a pirate ship have been disabled, leaving it unable to maneuver.",954591441,Yes,3
383184645.WEM,Inventory Full,Your inventory space is completely filled.,,,,,,,,,,Inventory," The inventory is completely full, preventing additional item storage. ",383184645,,4
1023688906.WEM,Collectible Received,A collectible item intended for personal decoration has been placed in your inventory.,,,,,,,,,,Inventory,A collectible item intended for personal decoration has been placed in your inventory. This is a simple confirmation alert  indicating item acquisition. No mention of use cases  as there is a wide variety of possible collectible items that could be referred to.,1023688906,,4
126319994.WEM,Secure Transmission Module Located,A secure transmission module has been located and data is being downloaded to your navigational computer.,,,,,,,,,,Navigation,A communications module has been found and its data is being downloaded to your navigation system.,126319994,Yes,3
236472322.WEM,Warning: Sentinel Combat Unit Deployed,You have attracted the attention of a Sentinel Combat Unit,,,,,,,,,,Personal Combat,Informs you that an advanced Sentinel enemy unit is being deployed due to your actions.,236472322,Yes,3
583871976.WEM,Warning: Threat Detected,A minor threat has been detected.,,,,,,,,,,Personal Combat,Informs you of a nearby low-level danger or enemy presence.,583871976,,4
623058381.WEM,Shield Down,"Your Shield is offline, power reserves have been drained.",,,,,,,,,,Personal Combat,Shield functionality has ceased due to lack of power.,623058381,,3
330757140.WEM,Hostile Ships Defeated,"Amazingly, You survived that encounter.  Did you even try to avoid being hit by enemy weapons?",,,,,,,,,,Starship Combat," you survived a hostile encounter, but may have taken unneccesary damage or missed evading attacks. ",330757140,Yes,9
968718536.WEM,Hostile Ships Approaching,Hostile starships are on apporach to your position and their weapons armed,,,,,,,,,,Starship Combat," Hostile starships have been detected approaching your position, weapons armed and ready.",968718536,,7
223423849.WEM,Discovery Uploaded,Your discovery has been uploaded to the Surveyor's Guild Database.,,,,,,,,,,Discovery," your discovery data has been transmitted and recorded in the Surveyor’s Guild Database, a registry for explorers. The message should affirm successful upload.",223423849,,2
263752892.WEM,Home Planet Claimed,A planet has been claimed by you as a new home.,,,,,,,,,,Discovery,you have officially claimed a planet as a new home base.,263752892,Yes,2
497090550.WEM,Discovery Uploaded,Your discovery has been uploaded the the galactic network and compensation for your efforts has been provided to you.,,,,,,,,,,Discovery," your discovery has been uploaded to the galactic network, and a reward for the discovery has been processed.",497090550,,2
682556976.WEM,New Planet Analyzed,You have analyzed a new planet and recorded the data to your personal archives.,,,,,,,,,,Discovery,A new planet has been analyzed and the data recorded in your personal archives. The message confirms successful analysis.,682556976,Yes,2
685057897.WEM,Discovery Uploaded,Your discovery has been uploaded for peer review.,,,,,,,,,,Discovery,A recently uploaded discovery is now pending peer review by the galactic scientific community.,685057897,,2
760990899.WEM,Home Planet Established,A new home planet has been surveyed and established by you.,,,,,,,,,,Discovery,A new planet has been successfully surveyed and established as your home. The alert confirms completion of this milestone.,760990899,Yes,2
990719346.WEM,New System Discovered,A new stellar system has been discovered by you.,,,,,,,,,,Discovery,you have successfully discovered a previously uncharted star system.,990719346,,2
1010781808.WEM,Discovery Uploaded,Your discovery has been uploaded to the galactic survey network for others to view.,,,,,,,,,,Discovery," A new discovery made by you has been successfully uploaded to the official galactic survey network, allowing others across the galaxy to access and review the data. The message confirms successful transmission.",1010781808,,2
28697689.WEM,Radiation Damage Detected,You have taken radiation damage.,,,,,,,,,,Environmental Status,you have been exposed to dangerous radiation levels. Message confirms biological impact.,28697689,,2
29330265.WEM,Extreme Water Temperature Detected,Extreme Cold Water environment Detected,,,,,,,,,,Environmental Status,you are exposed to extremely cold water while immersed. The alert must specify the hazard but not refer to a numeric temperature..,29330265,Yes,2
50465612.WEM,Extreme Subterranean Toxicity Detected,Extreme Subterranean Toxicity Detected,,,,,,,,,,Environmental Status,"Concentrated Toxic substances are detected while you are underground, capable of breaching safe thresholds.",50465612,Yes,2
76438123.WEM,Extreme Cold: Critical,Extreme cold conditions are present and may cause a serious drain on life support resources.,,,,,,,,,,Environmental Status," The environment’s extreme cold is critically impacting you, potentially depleting life support resources rapidly.",76438123,Yes,2
124237937.WEM,Extreme Night Radiation Detected,Extreme Night Radiation Detected,,,,,,,,,,Environmental Status,"Detection systems have registered extreme radiation levels during the night cycle, posing severe risk to you.",124237937,Yes,8
152151960.WEM,Extreme Temperature Detected,Extreme Temperature Detected,,,,,,,,,,Environmental Status," Environment temperature is detected at extreme levels, posing risk to you and your equipment. Do not specify hot or cold, this is a general warning regarding extreme temperatures as the location may fluctuate between both.",152151960,Yes,2
208814791.WEM,Extreme Water Toxicity Detected,Extreme Water Toxicity environment etected,,,,,,,,,,Environmental Status,Water toxicity levels detected in the environment have reached extreme danger thresholds while immersed. The alert must specify the hazard but not refer to a specific numeric value or type of toxicity.,208814791,Yes,2
213575654.WEM,Extreme Subterranean Temperature Detected,Extreme Subterranean Temperature Detected,,,,,,,,,,Environmental Status,"Sensorss have registered extremely high or low temperatures deep underground. At this time, the sensors cannot determine if the extremes are hor or cold, or there may be pockets of both, so provide a general notifcation without specifying hot or cold. These temperatures are outside safe operating limits and may impact equipment or your safety.",213575654,Yes,2
351875919.WEM,Delve Limit Reached,It is impossible for your portable mining tools to dig any deeper due to gravitational pressure.,,,,,,,,,,Environmental Status," Portable mining equipment has reached a physical limit imposed by gravitational forces, preventing further digging. The message should inform you that further excavation is impossible due to environmental constraints.",351875919,Yes,2
489352730.WEM,Extreme Water Temperature Detected,Extreme Hot Water environment Detected,,,,,,,,,,Environmental Status,You are exposed to extremely hot water while immersed. The alert must specify the water temperature hazard but not refer to a specific numeric temperature..,489352730,Yes,2
490165063.WEM,Extreme Night Toxicity Detected,Extreme Night Toxicity Detected,,,,,,,,,,Environmental Status," Extremely toxic environmental conditions have been detected during the night cycle, posing significant danger. ",490165063,Yes,2
570428671.WEM,Extreme Temperature Detected,Extreme Temperature Detected,,,,,,,,,,Environmental Status," Sensors confirm dangerously high or low temperature extremes in the immediate environment. The alert is meant to warn about temperature conditions that threaten suit integrity or your safety. Do not specify hot or cold, this is a general warning regarding extreme temperatures as the location may fluctuate between both.",570428671,Yes,3
653680659.WEM,Extreme Subterranean Temperature Detected,Extreme Subterranean Temperature Detected,,,,,,,,,,Environmental Status,Sensors indicate dangerous temperature levels while exploring below the surface. The alert warns you about hazardous subterranean temperature conditions that could compromise the suit or environment.,653680659,Yes,2
675954230.WEM,Extreme Toxicity Detected,Extreme Toxicity Detected,,,,,,,,,,Environmental Status," Toxic environmental conditions have reached extreme, hazardous levels, requiring immediate protective action by you to avoid damage or poisoning.",675954230,Yes,2
696022064.WEM,Extreme Radiation Detected,Extreme Radiation Detected,,,,,,,,,,Environmental Status," Extremely high levels of radiation are detected in the current environment, requiring immediate protective measures.",696022064,Yes,10
733521599.WEM,Extreme Night Temperature Detected,Extreme Night Heat Temperature Detected,,,,,,,,,,Environmental Status," Extreme night-time heat levels have been detected, which may threaten suit integrity and your safety. ",733521599,Yes,2
824368356.WEM,Extreme Subterranean Radiation Detected,Extreme Subterranean Radiation Detected,,,,,,,,,,Environmental Status," Extremely high subterranean radiation levels have been detected, posing severe risk to your and suit integrity.",824368356,Yes,2
863051935.WEM,Extreme Hazard Planet,The current planet exhibits various extreme hazards that may overwhelm your suit's protective capabilities.,,,,,,,,,,Environmental Status," The planet currently being explored presents multiple unstated extreme hazards, including environmental and possibly hostile factors, that may overwhelm the suit’s protective measures. ",863051935,Yes,2
899453751.WEM,Radiation Leak Detected,Intense Radiation Leak Detected in the vicinity.,,,,,,,,,,Environmental Status,"A nearby source of intense radiation is leaking into the environment, posing a threat.",899453751,Yes,2
