Filename,Transcription,Category,Intent,WEM_number,Used
666.WEM,Mandatory Test,_Debugging,"Hello, {name} has reached I.T.  Has {name} tried turning it off and then on again?",666,No
76438123.WEM,Extreme Cold: Critical,Severe Cold,"Extreme cold is critically impacting {name}'s protective capabilities, potentially depleting life support resources rapidly.",76438123,
56102735.WEM,Danger: Critical Hypothermia,Severe Cold,"Extreme cold conditions have overwhelmed the life support system, and hypothermia has begun, failure to address this may be fatal.",56102735,
968836370.WEM,Extreme Cold Damage Detected,Severe Cold,Serious damage is being inflicted to {name} due to exposure to extreme cold.,968836370,
223423849.WEM,Discovery Uploaded,Discovery,{name}'s discovery has been uploaded to the galactic network.,223423849,
263752892.WEM,Home Planet Claimed,Discovery,{name} has officially claimed a planet as a new home base.,263752892,No
497090550.WEM,Discovery Uploaded,Discovery,"{name}'s discovery has been uploaded to the galactic network, and a reward for the discovery has been issued.",497090550,
682556976.WEM,New Planet Analyzed,Discovery,A new planet has been analyzed and the data recorded in {name}'s personal archives.,682556976,No
685057897.WEM,Discovery Uploaded,Discovery,{name}'s discovery is uploaded and now pending peer review by the galactic scientific community.,685057897,
760990899.WEM,Home Planet Established,Discovery,A new planet has been successfully surveyed and established as {name}'s home.,760990899,No
990719346.WEM,New System Discovered,Discovery,{name} has successfully discovered a previously uncharted star system.,990719346,No
1010781808.WEM,Discovery Uploaded,Discovery,"A new discovery has been successfully uploaded by {name} to the official galactic survey network, allowing others across the galaxy to access and review the data.",1010781808,
27999850.WEM,Shield Protection Falling,Energy Shield,{name}'s personal protective energy shield is failing due to continuous damage.,27999850,
67834502.WEM,Shields Down,Energy Shield,{name}'s personal protective energy shield has failed entirely.,67834502,
272020218.WEM,Shield Down,Energy Shield,{name}'s protective energy shield systems are offline due to complete energy depletion. Defensive capability is lost.,272020218,
394683190.WEM,Shield Down,Energy Shield,{name}'s personal protective energy shield has failed due to taking damage.,394683190,
468585602.WEM,Shield Down,Energy Shield,Energy levels of {name}'s personal protective energy shield are severely depleted. Immediate Recharge is required in order to restore full function.,468585602,
691940593.WEM,Shield Protection Stabilizing,Energy Shield,{name}'s energy shield is recovering from recent damage and field stabilization is underway.,691940593,
781094525.WEM,Danger: Shield Compromised,Energy Shield,{name}'s kinetic energy shield has failed and can no longer negate or reduce physical injury.,781094525,
871932351.WEM,Shield Down,Energy Shield,Inflicted damage has entirely destroyed {name}'s personal energy shield integrity.,871932351,
623058381.WEM,Shield Down,Energy Shield,{name}'s personal energy shield has ceased functioning due to lack of power.,623058381,
774834164.WEM,Weather Update - Storm Clearing,Local Hazards,"A storm is ending, and eeather conditions will soon return to normal in the local areal.",774834164,
1032826641.WEM,Weather Update - Incoming Storm,Local Hazards,A storm front will arrive at {name}'s location very soon.,1032826641,
351875919.WEM,Delve Limit Reached,Local Hazards,{name}'s portable mining equipment has reached a physical limit imposed by gravitational forces. Deeper  excavation is impossible.,351875919,No
863051935.WEM,Extreme Hazard Planet,Local Hazards,The planet currently being explored by {name} presents multiple types of extreme hazards.,863051935,
105331281.WEM,Component Repaired,Equipment Status,{name}'s damaged equipment component has been successfully repaired.,105331281,
792296351.WEM,Technology Recharged,Equipment Status,"{name}'s technology module has been provided with additional power, and is now functioning normally.",792296351,
