WEM number,Original,Seed,Reworded,Model_Seed,Model
330331555,Units Received,Your bank account total has increased.,Your bank account balance has increased.,2122562,qwen2.5:0.5b
980411923,Product Received,An new item has been added to your existing inventory.,A new item has been added to your existing inventory.,5913475,qwen2.5:0.5b
774834164,Weather Update: Storm Clearing,Weather conditions have improved. Acid rain is no longer eating your suit.,"Weather conditions have returned to normal. Acid rain has been successfully mitigated, and you can now enjoy the fresh air again.",5865118,qwen2.5:0.5b
105331281,Component Repaired,"You fixed that component, well done.","You fixed the damaged equipment component, well done.",7296103,qwen2.5:0.5b
245522736,Enemy Missile Inbound,A missile has been launched by hostile forces toward a civilian freighter you are protecting.,"A missile has been fired at your cargo ship, aimed at the civilian vessel you are tasked with safeguarding.",7324593,qwen2.5:0.5b
247183138,Thermal Protection Falling,Protection against extreme thermal variations is rapidly failing.,Protection against extreme thermal variations is rapidly failing.,1465479,qwen2.5:0.5b
1032826641,Weather Warning: Incoming Storm,You’re about to get hammered by Mother Nature.,You're about to be struck by a sudden downpour from the heavens.,6167715,qwen2.5:0.5b
792296351,Technology Recharged,Power levels have been restored to the component.,Power levels have been restored to the component.,1030900,qwen2.5:0.5b
656990144,Extreme Sentinel Planet,This place is crawling with surveillance and overreaction.,"The alien beings are constantly monitoring our activities, causing excessive alarm.",8619479,qwen2.5:0.5b
780959188,No Free Slots In Suit Inventory,Your suit inventory space is completely filled.,Your suit inventory space is now empty.,2922949,qwen2.5:0.5b
240393094,Warning: Sentinel Drones Activated,You’re about to be surrounded by unfriendlies.,You're about to face a barrage of unfriendly drones.,5045259,qwen2.5:0.5b
884631197,Weapon Charge Depleted,"Your Weapon is out of ammo, keep clicking the trigger to see what happens.",Your weapon is running low on ammunition. Keep pressing the trigger to witness its depletion.,8966963,qwen2.5:0.5b
386328035,Hostile Scan Detected,You are being scanned by a hostile source. You could always be a pansy and call for help.,You are being scanned by a hostile source. You might as well be a pansy and seek assistance.,8627243,qwen2.5:0.5b
396681446,Nearby toxins detected,"Corrosive toxins are attacking your suit integrity, filters are damaged.",Corrosive environmental toxins are causing damage to your suit's protective filters.,4004321,qwen2.5:0.5b
976899439,Extreme Night Temperature Detected,Extreme night cold temperature detected.,"Extreme night cold temperatures detected, posing a significant risk to life support and your safety.",6235606,qwen2.5:0.5b
160765928,Civilian freighter destroyed,"A civilian freighter you were assigned to protect has been destroyed, you failed to save them, their cries for help will haunt your sleep.",A civilian freighter you were assigned to protect was lost and there are no survivors. You failed to save them; their cries for help will haunt your sleep.,6301061,qwen2.5:0.5b
711767177,Warning: civilian shields depleted,"The civilian freighter you are assigned to protect is in serious danger, their defenses have been compromised.",The civilian freighter under your protection is in imminent peril.,1726042,qwen2.5:0.5b
954591441,Pirate engines neutralized,"Pirate engines have been destroyed, the vessel is crippled.","The pirate ships' engines are no longer operational, rendering them ineffective for navigation.",1906728,qwen2.5:0.5b
383184645,Inventory Full,Your inventory space is completely filled.,Your inventory space is currently at its maximum capacity. It's not possible to add more items without exceeding the limit.,3706658,qwen2.5:0.5b
1023688906,Collectible Received,A collectible item intended for personal decoration has been placed in your inventory.,A collectible item intended for personal decoration has been added to your inventory.,1997732,qwen2.5:0.5b
126319994,Secure Transmission Module Located,A secure transmission module has been located and data is being downloaded to your navigational computer.,"A secure communication channel has been identified, and the necessary data has been transferred to your navigation device.",5600196,qwen2.5:0.5b
236472322,Warning: Sentinel Combat Unit Deployed,You have attracted the attention of a Sentinel combat unit.,An advanced Sentinel enemy unit has been deployed in response to your actions.,3173508,qwen2.5:0.5b
583871976,Warning: Threat Detected,A minor threat has been detected.,A nearby low-level danger or enemy presence has been identified.,3247851,qwen2.5:0.5b
623058381,Shield Down,"Your Shield is offline, power reserves have been drained.","Your Shield is currently offline, and the power reserves are depleted.",3737780,qwen2.5:0.5b
330757140,Hostile Ships Defeated,"Amazingly, You survived that encounter. Did you even try to avoid being hit by enemy weapons?","Amazingly, You survived the hostile encounter. Did you even attempt to avoid being hit by enemy weapons?",3548292,qwen2.5:0.5b
968718536,Hostile Ships Approaching,Hostile starships are on apporach to your position and their weapons are armed.,Hostile starships have been spotted approaching your position and their weaponry is active.,434459,qwen2.5:0.5b
223423849,Discovery Uploaded,Your discovery has been uploaded to the Surveyor's Guild Database.,Your discovery data has been uploaded to the Surveyor's Guild Database.,3245272,qwen2.5:0.5b
263752892,Home Planet Claimed,A planet has been claimed by you as a new home.,A planet has been claimed by You as a new home.,475611,qwen2.5:0.5b
497090550,Discovery Uploaded,Your discovery has been uploaded the the galactic network and compensation for your efforts has been provided to you.,"Your discovery has been uploaded to the galactic network, and a reward for the discovery has been processed.",2506489,qwen2.5:0.5b
682556976,New Planet Analyzed,You have analyzed a new planet and recorded the data to your personal archives.,You have analyzed a new planet and recorded its data into your personal archives.,1238783,qwen2.5:0.5b
685057897,Discovery Uploaded,Your discovery has been uploaded for peer review.,Your recent discovery has been accepted for peer review.,6904885,qwen2.5:0.5b
760990899,Home Planet Established,A new home planet has been surveyed and established by you.,"A new home planet has been established, and You have become a part of it.",4179400,qwen2.5:0.5b
990719346,New System Discovered,A new stellar system has been discovered by you.,A new stellar system has been discovered by You.,8437347,qwen2.5:0.5b
1010781808,Discovery Uploaded,Your discovery has been uploaded to the galactic survey network for others to view.,"Your new discovery has been successfully uploaded to the galactic survey network, making it accessible to all across the galaxy.",6389391,qwen2.5:0.5b
28697689,Radiation Damage Detected,You have taken radiation damage.,"You are exposed to high radiation levels, which could lead to severe long-term health impacts.",9940894,qwen2.5:0.5b
29330265,Extreme Water Temperature Detected,Extreme cold water environment detected.,"Extreme cold water environment detected, please review the visual head-up display for detailed information.",8763541,qwen2.5:0.5b
50465612,Extreme Subterranean Toxicity Detected,Extreme subterranean toxicity detected,"Concentrated toxic substances have been found underground, posing a risk to safety.",9924938,qwen2.5:0.5b
76438123,Extreme Cold: Critical,Extreme cold conditions are present and may cause a serious drain on life support resources.,Extreme cold conditions are currently affecting your life support resources.,6490339,qwen2.5:0.5b
124237937,Extreme Night Radiation Detected,Extreme night radiation detected.,Extreme night radiation detected.,603797,qwen2.5:0.5b
152151960,Extreme Temperature Detected,Extreme temperature detected.,Extreme temperature detected. Review the visual heads up display for details.,1130850,qwen2.5:0.5b
