WEM number,Original,Seed Phrase,Final Voice Line
330331555,Units Received,You received some money for that transaction.,You received some money for a transaction involving your product or service.
54980060,Radiation Protection Falling,Your  suit ability to prevent radiation damage is compromised,"Your suit's radiation shielding is deteriorating, making it increasingly difficult for you to protect yourself."
330331555,Units Received,Cash reserves have been slightly  amplified,Cash reserves have seen a slight increase.
54980060,Radiation Protection Falling,Your  suit ability to prevent radiation damage is compromised,"Your suit's radiation shielding has deteriorated, making it less effective in preventing radiation damage."
330331555,Units Received,Payment has been  received.,Payment has been received without specifying an exact amount or reason for the payment.
330331555,Units Received,Cash reserves have been slightly  amplified,Cash reserves have been slightly increased.
330331555,Units Received,Payment has been  received.,Payment has been received.
54980060,Radiation Protection Falling,Your  suit ability to prevent radiation damage is compromised,"Your suit's radiation shielding has deteriorated, making it more susceptible to damage."
330331555,Units Received,A large deposit was made to your bank account,"WEM ERROR 330331555, HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=10).  Units Received"
54980060,Radiation Protection Falling,Your  suit ability to prevent radiation damage is compromised,"Your suit's radiation shielding is deteriorating, making it less effective in preventing radiation damage."
330331555,Units Received,You have secured additional funds for your account.,"WEM ERROR 330331555, HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=10).  Units Received"
54980060,Radiation Protection Falling,Your  suit ability to prevent radiation damage is compromised,"WEM ERROR 54980060, HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=10).  Radiation Protection Falling"
330331555,Units Received,Payment has been  received.,Payment has been received.
330331555,Units Received,You have secured additional funds for your account.,"WEM ERROR 330331555, HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=10).  Units Received"
54980060,Radiation Protection Falling,Your  suit ability to prevent radiation damage is compromised,"WEM ERROR 54980060, HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=10).  Radiation Protection Falling"
330331555,Units Received,You have secured additional funds for your account.,"WEM ERROR 330331555, HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=10).  Units Received"
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding is deteriorating, making it less effective in preventing radiation damage."
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding is deteriorating, making it less effective in protecting against the harmful radiation."
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding is deteriorating, making it less effective in protecting against harmful radiation."
696022064,Extreme Radiation Detected,Extreme radiation detected.,Extreme radiation is detected in the current environment. Immediate protective measures must be taken.
696022064,Extreme Radiation Detected,Extreme radiation detected.,"The current environment is highly contaminated with extremely high levels of radiation, necessitating immediate safety precautions."
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding is deteriorating, making it increasingly difficult for you to protect yourself from the effects of radiation."
472945351,Radiation Protection Stabilizing,Your radiation protection ability is recovering.,Your suit's radiation protection has returned to its normal operational level.
696022064,Extreme Radiation Detected,Extreme radiation detected.,Extreme radiation detected. Immediate protective measures must be taken.
472945351,Radiation Protection Stabilizing,Your radiation protection ability is recovering.,Your suit's radiation protection has been restored.
696022064,Extreme Radiation Detected,Extreme radiation detected.,Extreme radiation detected. Immediate protective measures must be taken.
472945351,Radiation Protection Stabilizing,Your radiation protection ability is recovering.,Your radiation protection capability has been restored.
696022064,Extreme Radiation Detected,Extreme radiation detected.,Extreme radiation detected. Immediate protective measures required.
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding has deteriorated, making it less effective in preventing radiation damage."
330331555,Units Received,Your bank account total has increased.,Your bank account balance has been adjusted.
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding is deteriorating, making it increasingly difficult for you to protect yourself."
330331555,Units Received,Funds have been added to your account and are ready to be used.,Your funds have been successfully transferred. Please check your account details for the new balance.
330331555,Units Received,Payment has been received and deposited.,Payment has been received.
330331555,Units Received,Cash reserves have been slightly amplified.,The amount of cash reserves has been significantly increased.
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding has deteriorated, making it increasingly difficult for you to protect yourself from the harmful effects of radiation."
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding has deteriorated, making it less effective in preventing radiation damage."
28697689,Radiation Damage Detected,You have taken radiation damage.,"You are currently experiencing significant radiation exposure, which could potentially harm your long-term health."
28697689,Radiation Damage Detected,You have taken radiation damage.,"You are exposed to dangerous radiation levels, which could lead to severe long-term health consequences."
