Filename,Transcription,Seed_Phrase,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,Context,Intent,WEM number,Thinking,Count
330331555.WEM,Units Received,Payment has been received and deposited.,You received payment and it is deposited in your account.,You could have received more money from that transaction.,A large deposit was made to your bank account. ,Your bank account total has increased.,You have secured additional funds for your account.,Cash reserves have been slightly amplified.,Funds have been added to your account and are ready to be used.,,,Monetary transaction,Money has been received.,330331555,,126
980411923.WEM,Product Received,An new item has been added to your existing inventory.,,,,,,,,,,Inventory,A product or item has been delivered and added to your inventory.,980411923,,30
774834164.WEM,Weather Update: Storm Clearing,The storm is over and weather conditions are stabilizing.,The storm is over and weather conditions are stabilizing.,Weather conditions have improved. Acid rain is no longer eating your suit.,Weather conditions have improved. Mother nature has stopped trying to attack you for now.,Weather conditions have improved. That was quite an invigorating experience!,Weather conditions have improved. Next time there is a storm you should seek shelter.,Weather conditions have improved. You can put your umbrella away now.,,,,Environmental Status,A storm has passed. Weather conditions are returning to normal.,774834164,Yes,18
105331281.WEM,Component Repaired,You have repaired a damaged equipment component with great skill.,You have repaired a damaged equipment component with great skill.,"You fixed that component, well done. ",Getting that skill in Gadgetry really paid off.,How did you even see those nanowire connections without a microscope?,Bubblegum and duct tape will fix anything.,"If it doesnt move and it should, use a hammer.","If it moves and it should not, use duct tape.",,,Equipment Status,A damaged equipment component has been successfully repaired.,105331281,Yes,21
245522736.WEM,Enemy Missile Inbound,A missile has been launched by hostile forces toward a civilian freighter you are protecting.,,,,,,,,,,Freighter Combat,A missile has been fired at a civilian freighter you are defending.,245522736,,7
247183138.WEM,Thermal Protection Falling,Protection against extreme thermal variations is rapidly failing.,Protection against extreme thermal variations is rapidly failing.,Your spacesuit disagrees with your idea of what is comfortable.,Your thermal insulation no longer works.,It's getting way too unpleasant.,Environmental danger is rising.,,,,,Personal Protection,"Your environmental temperature shielding is failing, ability to protect against all temperature extremes is compromised.",247183138,Yes,15
1032826641.WEM,Weather Warning: Incoming Storm,Unpleasant weather is on it's way.,Unpleasant weather is on its way.,The sky appears to be angry with you. ANgry weather is approaching.,Atmospheric conditions are about to significantly worsen.,This weather wants to hurt you tody.	,Mother Nature is preparing to throw a tantrum.,You’re about to get hammered by Mother Nature.,,,,Environmental Status,A storm front will arrive at your location very soon. ,1032826641,Yes,10
792296351.WEM,Technology Recharged,A technology module has been recharged.,A technology module has been recharged.,Your technology is powered back up.,Energy has been restored.,The disabled module is now reactivated and ready for use.,Power levels have been restored to the component.,,,,,Equipment Status,"One of your tech modules has been provided with additional power, and is functioning normally.",792296351,,34
656990144.WEM,Extreme Sentinel Planet,"This planet is inhabited by hostile Sentinel forces, trespassing will likely result in combat.","This planet is inhabited by hostile Sentinel forces, trespassing will likely result in combat.",You do not appear to be welcome here.,Sentinels are everywhere!,Prepare for trouble if you are seen.,This place is crawling with surveillance and overreaction.,Stealth won’t help you here.,Any intrusion or detection will likely provoke aggressive combat response.,,,Environmental Status,You’ve landed on a planet patrolled by hostile Sentinels. ,656990144,Yes,6
780959188.WEM,Inventory Full,Your inventory space is completely filled.,,,,,,,,,,Inventory,"The inventory space is completely full, preventing additional item storage. ",780959188,,4
240393094.WEM,Warning: Sentinel Drones Activated,Multiple Sentinel drones activated and converging on your position.,Multiple Sentinel Drones Activated and converging on your position.,Sentinel drones have designated you as a valid target.,Sentinel drones are now active and heading your way.,Automated aggression has been triggered.,You’re about to be surrounded by unfriendlies.,Sentinels have marked you as a target. They’re coming for you.,You attracted the attention of hostile Sentinels. Perhaps you should consider avoiding Sentinel patrols.,,,Personal Combat,Multiple hostile drones are converging on your position.,240393094,Yes,5
884631197.WEM,Weapon Charge Depleted,"Your weapon is out of ammo, reload it to continue wasting ammo.","Your weapon is out of ammo, reload it to continue randomly shooting.","Your Weapon is out of ammo, there is nothing left in the ammo clip.","Your Weapon is out of ammo, the ammo fairy has chosen to not visit you.","Your Weapon is out of ammo, keep clicking the trigger to see what happens.","Your Weapon is out of ammo, you need to reload. immediately.","Your Weapon is out of ammo, maybe consider actually hitting something next time you fire it.","Your Weapon is out of ammo, you were probably wasting shots anyway.",,,Personal Combat,"Your weapon has zero ammo left, the weapon needs recharging or reloading.",884631197,Yes,8,
386328035.WEM,Hostile Scan Detected,An active scanning frequency has been detected and your position is being relayed to an unknown recipient.,A previously unknown scanning frequency has been detected and your suit database is being accessed by a hostile source.,You are being scanned by a hostile source. You could always be a pansy and call for help.,"You are being scanned by a hostile source. If you only had a voice, you could try communicating.",You are being scanned by a hostile source. You may want to consider fleeing.,You are being scanned by a hostile source. Today's suggestion is to prepare for combat.,,,,,Personal Combat,"A hostile source is scanning you to lock you as a target. This is a threat in progress, Urgency required.",386328035,Yes,5
396681446.wem,Nearby toxins detected,"Corrosive toxins are attacking your suit integrity, filters are damaged.",,,,,,,,,,Environmental Status,Environmental toxins are damaging your suit's protective filters.,396681446,Yes,4
976899439.WEM,Extreme Night Temperature Detected,Extreme night cold temperature detected.,,,,,,,,,,Environmental Status,"Extreme cold temperatures during the night cycle are detected, posing a threat to life support and your safety. ",976899439,Yes,5
160765928.wem,Civilian freighter destroyed,"A civilian freighter you were assigned to protect has been destroyed, you failed to save them, their cries for help will haunt your sleep.",,,,,,,,,,Freighter Combat,A civilian freighter you were assigned to protect was lost and there are no survivors.,160765928,Yes,3
711767177.wem,Warning: civilian shields depleted,"The civilian freighter you are assigned to protect is in serious danger, their defenses have been compromised.",,,,,,,,,,Freighter Combat,A civilian freighter under your protection is at risk of immediate destruction.,711767177,,4
954591441.wem,Pirate engines neutralized,"Pirate engines have been destroyed, the vessel is crippled.",,,,,,,,,,Freighter Combat,"The engines of a pirate ship have been disabled, leaving it unable to maneuver.",954591441,Yes,4
383184645.WEM,Inventory Full,Your inventory space is completely filled.,,,,,,,,,,Inventory,"The inventory space is completely full, preventing additional item storage. ",383184645,,4
1023688906.WEM,Collectible Received,A collectible item intended for personal decoration has been placed in your inventory.,,,,,,,,,,Inventory,A collectible item intended for personal decoration has been added to your inventory.,1023688906,,5
126319994.WEM,Secure Transmission Module Located,A secure transmission module has been located and data is being downloaded to your navigational computer.,,,,,,,,,,Navigation,A communications module has been found and its data is being downloaded to your navigation system.,126319994,Yes,3
236472322.WEM,Warning: Sentinel Combat Unit Deployed,You have attracted the attention of a Sentinel combat unit.,,,,,,,,,,Personal Combat,An advanced Sentinel enemy unit is being deployed due to your actions.,236472322,Yes,5
583871976.WEM,Warning: Threat Detected,A minor threat has been detected.,,,,,,,,,,Personal Combat,There is a nearby low-level danger or enemy presence.,583871976,,4
623058381.WEM,Shield Down,"Your Shield is offline, power reserves have been drained.",,,,,,,,,,Personal Combat,Shield functionality has ceased due to lack of power.,623058381,,3
330757140.WEM,Hostile Ships Defeated,"Amazingly, you survived that encounter. Did you even try to avoid being hit by enemy weapons?",,,,,,,,,,Starship Combat,"You survived a hostile encounter, but may have taken unneccesary damage or missed evading attacks. ",330757140,Yes,10
968718536.WEM,Hostile Ships Approaching,Hostile starships are on apporach to your position and their weapons are armed.,,,,,,,,,,Starship Combat,"Hostile starships have been detected approaching your position, their weapons are armed and ready.",968718536,,8
223423849.WEM,Discovery Uploaded,Your discovery has been uploaded to the Surveyor's Guild Database.,,,,,,,,,,Discovery,"Your discovery data has been transmitted and recorded in the Surveyor’s Guild Database, a registry for explorers.",223423849,,2
263752892.WEM,Home Planet Claimed,A planet has been claimed by you as a new home.,,,,,,,,,,Discovery,You have officially claimed a planet as a new home base.,263752892,Yes,2
497090550.WEM,Discovery Uploaded,Your discovery has been uploaded the the galactic network and compensation for your efforts has been provided to you.,,,,,,,,,,Discovery,"Your discovery has been uploaded to the galactic network, and a reward for the discovery has been processed.",497090550,,2
682556976.WEM,New Planet Analyzed,You have analyzed a new planet and recorded the data to your personal archives.,,,,,,,,,,Discovery,A new planet has been analyzed and the data recorded in your personal archives.,682556976,Yes,2
685057897.WEM,Discovery Uploaded,Your discovery has been uploaded for peer review.,,,,,,,,,,Discovery,A recently uploaded discovery is now pending peer review by the galactic scientific community.,685057897,,2
760990899.WEM,Home Planet Established,A new home planet has been surveyed and established by you.,,,,,,,,,,Discovery,A new planet has been successfully surveyed and established as your home.,760990899,Yes,2
990719346.WEM,New System Discovered,A new stellar system has been discovered by you.,,,,,,,,,,Discovery,You have successfully discovered a previously uncharted star system.,990719346,,2
1010781808.WEM,Discovery Uploaded,Your discovery has been uploaded to the galactic survey network for others to view.,,,,,,,,,,Discovery,"A new discovery made by you has been successfully uploaded to the official galactic survey network, allowing others across the galaxy to access and review the data.",1010781808,,2
28697689.WEM,Radiation Damage Detected,You have taken radiation damage.,,,,,,,,,,Environmental Status,You have been exposed to dangerous radiation levels that may severely impact your long term health.,28697689,,7
29330265.WEM,Extreme Water Temperature Detected,Extreme cold water environment detected.,,,,,,,,,,Environmental Status,You are exposed to extremely cold water while immersed. Review the visual heads up display for details.,29330265,Yes,2
50465612.WEM,Extreme Subterranean Toxicity Detected,Extreme subterranean toxicity detected,,,,,,,,,,Environmental Status,"Concentrated Toxic substances are detected while you are underground, capable of breaching safe thresholds.",50465612,Yes,2
76438123.WEM,Extreme Cold: Critical,Extreme cold conditions are present and may cause a serious drain on life support resources.,,,,,,,,,,Environmental Status,"The environment’s extreme cold is critically impacting you, potentially depleting life support resources rapidly.",76438123,Yes,2
124237937.WEM,Extreme Night Radiation Detected,Extreme night radiation detected.,,,,,,,,,,Environmental Status,"Detection systems have registered extreme radiation levels during the night cycle, posing severe risk to you.",124237937,Yes,8
152151960.WEM,Extreme Temperature Detected,Extreme temperature detected.,,,,,,,,,,Environmental Status,"Environment temperature is detected at extreme levels, posing risk to you and your equipment. Review the visual heads up display for details.",152151960,Yes,2
